,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,country
160,0,115,28,1,PRT
161,0,111,28,1,PRT
162,0,51,28,1,USA
163,0,94,28,1,CN
164,0,81,28,1,CHE
165,0,84,28,1,PRT
166,0,51,28,1,USA
167,0,111,28,0,PRT
168,0,0,28,0,PRT
169,0,2,28,1,PRT
170,0,7,28,1,PRT
171,0,98,28,1,USA
172,0,95,28,1,GRC
173,1,48,28,1,PRT
174,0,66,28,1,PRT
175,0,104,28,1,PRT
176,0,28,28,1,PRT
177,0,34,28,1,PRT
178,0,98,28,1,ESP
179,0,104,28,1,PRT
180,0,68,28,2,PRT
181,1,86,28,2,PRT
182,0,258,28,2,GBR
183,0,111,28,3,PRT
184,1,94,28,3,PRT
185,0,112,28,3,GBR
186,0,100,28,3,GBR
187,0,33,28,3,PRT
188,0,97,28,3,GBR
189,0,80,28,3,FRA
190,0,90,28,4,ITA
191,0,111,28,4,GBR
192,0,65,28,2,PRT
193,1,67,28,0,PRT
194,0,55,28,0,ESP
195,0,21,28,0,PRT
196,0,8,28,0,PRT
197,0,8,28,0,PRT
198,0,0,28,0,GBR
199,0,0,28,0,PRT
200,0,0,28,0,GBR
201,0,8,28,0,ESP
202,0,66,28,0,PRT
203,0,88,28,0,USA
204,0,0,28,0,NLD
205,1,43,28,0,PRT
206,1,88,28,2,PRT
207,0,54,28,2,IRL
208,1,292,28,2,PRT
209,0,112,28,4,IRL
210,0,68,28,0,GBR
211,0,7,28,0,PRT
212,0,1,28,0,ESP
213,1,113,28,0,PRT
214,0,5,28,0,ESP
215,0,83,28,0,PRT
216,1,105,28,0,PRT
217,0,0,28,0,PRT
218,1,1,28,0,PRT
219,1,1,28,0,PRT
220,0,1,28,0,CHE
221,1,102,28,1,PRT
222,0,113,28,2,PRT
223,1,280,28,2,PRT
224,0,96,28,2,GBR
225,0,394,28,2,GBR
226,0,33,28,2,PRT
227,0,82,28,2,IRL
228,0,100,28,2,DNK
229,0,100,28,2,DNK
230,0,17,28,0,PRT
231,0,68,28,0,ARG
232,0,12,28,0,PRT
233,1,77,28,0,PRT
234,1,24,28,0,PRT
235,1,44,28,0,PRT
236,0,78,28,0,PRT
237,1,17,28,1,PRT
238,1,103,28,1,PRT
239,0,16,28,1,RUS
240,0,14,28,2,SWE
241,0,77,28,2,POL
242,0,90,28,2,FRA
243,0,90,28,2,GBR
244,0,90,28,2,GBR
245,0,366,28,2,GBR
246,0,249,28,2,PRT
247,1,69,28,2,PRT
248,0,10,28,0,USA
249,0,22,28,0,PRT
250,0,91,28,0,PRT
251,0,23,28,0,PRT
252,0,11,28,0,PRT
253,0,3,28,0,PRT
254,0,13,28,0,PRT
255,0,108,28,0,PRT
256,0,91,28,0,PRT
257,0,37,28,1,GBR
258,0,21,28,1,AUS
259,0,106,28,1,GBR
260,0,30,28,2,PRT
261,0,30,28,2,PRT
262,1,51,28,2,PRT
263,0,79,28,2,POL
264,0,21,28,2,PRT
265,0,35,28,2,EST
266,0,78,28,2,PRT
267,0,31,28,2,PRT
268,0,78,28,2,PRT
269,0,78,28,2,PRT
270,0,44,28,2,RUS
271,0,34,28,2,GBR
272,0,87,28,2,PRT
273,0,11,28,2,PRT
274,0,115,28,2,IRL
275,0,86,28,3,PRT
276,0,41,28,4,GBR
277,0,32,28,4,DNK
278,0,34,28,2,GBR
279,0,34,28,2,GBR
280,1,100,28,2,PRT
281,0,44,28,2,ESP
282,0,304,28,2,PRT
283,1,36,28,2,PRT
284,0,117,28,2,PRT
285,0,70,28,2,ESP
286,0,110,28,2,PRT
287,1,109,28,2,PRT
288,0,33,28,2,GBR
289,0,33,28,2,PRT
290,0,33,28,2,CZE
291,0,0,28,0,GBR
292,0,0,28,0,DEU
293,0,0,28,0,ESP
294,0,0,28,0,ESP
295,0,84,28,1,PRT
296,0,71,28,1,ESP
297,0,16,28,1,ROU
298,0,54,28,2,PRT
299,0,8,28,2,ESP
300,0,36,28,2,PRT
301,0,40,28,2,PRT
302,1,59,28,2,PRT
303,0,79,28,2,PRT
304,0,32,28,4,PRT
305,0,110,28,2,PRT
306,0,33,28,2,PRT
307,0,53,29,1,CN
308,0,2,29,1,PRT
309,0,8,29,2,PRT
310,1,72,29,2,PRT
311,0,12,29,2,GBR
312,0,48,29,2,BRA
313,0,90,29,2,PRT
314,0,34,29,2,ESP
315,1,58,29,2,PRT
316,0,59,29,2,GBR
317,0,90,29,2,PRT
318,0,116,29,2,PRT
319,0,31,29,2,GBR
320,1,51,29,2,PRT
321,0,48,29,2,GBR
322,0,59,29,2,ESP
323,1,97,29,3,PRT
324,0,12,29,4,FRA
325,0,64,29,4,PRT
326,0,31,29,4,GBR
327,0,59,29,4,GBR
328,1,55,29,4,PRT
329,0,81,29,2,GBR
330,0,1,29,1,PRT
331,0,34,29,2,BEL
332,0,13,29,2,ESP
333,0,40,29,2,FRA
334,0,1,29,2,ESP
335,0,34,29,2,BEL
336,0,88,29,2,ITA
337,0,9,29,2,ESP
338,1,24,29,2,PRT
339,0,97,29,2,FRA
340,0,60,29,2,FIN
341,0,100,29,2,CN
342,0,50,29,2,ESP
343,1,47,29,2,PRT
344,0,8,29,2,IRL
345,0,34,29,2,ESP
346,0,47,29,2,ESP
347,0,115,29,2,PRT
348,1,79,29,2,PRT
349,0,91,29,2,GBR
350,0,98,29,1,ESP
351,0,109,29,1,ESP
352,0,0,29,1,AUS
353,0,98,29,1,ESP
354,0,0,29,1,PRT
355,0,9,29,1,ESP
356,0,62,29,1,ESP
357,1,45,29,1,PRT
358,0,42,29,1,USA
359,0,54,29,1,PRT
360,0,51,29,1,ESP
361,0,54,29,1,PRT
362,0,58,29,1,ESP
363,0,0,29,1,PRT
364,1,60,29,1,PRT
365,1,321,29,1,PRT
366,0,40,29,1,ESP
367,1,51,29,1,PRT
368,0,38,29,1,PRT
369,1,75,29,1,PRT
370,0,101,29,1,PRT
371,1,42,29,1,PRT
372,0,40,29,1,ESP
373,0,109,29,1,PRT
374,1,81,29,1,PRT
375,1,98,29,1,PRT
376,0,32,29,1,PRT
377,0,72,29,1,FRA
378,0,115,29,2,PRT
379,0,118,29,2,PRT
380,0,81,29,2,ESP
381,1,95,29,2,PRT
382,0,16,29,1,ROU
383,0,56,29,1,ESP
384,0,88,29,3,FIN
385,0,41,29,3,GBR
386,1,40,29,0,PRT
387,0,1,29,0,PRT
388,0,1,29,0,PRT
389,0,1,29,0,PRT
390,1,76,29,0,PRT
391,0,0,29,0,ESP
392,0,49,29,0,POL
393,0,76,29,0,PRT
394,0,73,29,1,PRT
395,0,73,29,1,PRT
396,0,317,29,1,PRT
397,1,112,29,2,PRT
398,0,6,29,2,ESP
399,0,8,29,2,ESP
400,1,96,29,2,PRT
401,1,96,29,2,PRT
402,0,99,29,2,IRL
403,0,66,29,2,IRL
404,0,38,29,4,SWE
405,0,38,29,4,SWE
406,0,113,29,4,PRT
407,0,0,29,0,PRT
408,1,62,29,0,PRT
409,1,39,29,0,PRT
410,0,37,29,2,POL
411,1,58,29,2,PRT
412,0,37,29,2,GBR
413,0,57,29,0,PRT
414,0,57,29,0,PRT
415,0,57,29,0,PRT
416,0,57,29,0,PRT
417,0,57,29,0,PRT
418,0,83,29,2,GBR
419,0,57,29,0,PRT
420,0,57,29,0,PRT
421,1,57,29,0,PRT
422,0,57,29,0,PRT
423,0,57,29,0,PRT
424,0,57,29,0,PRT
425,0,57,29,0,PRT
426,0,57,29,0,PRT
427,0,57,29,0,PRT
428,0,57,29,0,PRT
429,0,57,29,0,PRT
430,0,57,29,0,PRT
431,0,57,29,0,PRT
432,0,57,29,0,PRT
433,0,57,29,0,PRT
434,1,66,29,0,PRT
435,0,13,29,0,DNK
436,0,50,29,0,FIN
437,1,48,29,0,PRT
438,1,0,29,0,PRT
439,0,7,29,0,USA
440,0,0,29,0,PRT
441,1,66,29,0,PRT
442,0,13,29,0,PRT
443,0,66,29,0,DNK
444,0,10,29,0,ESP
445,1,10,29,0,PRT
446,1,58,29,0,PRT
447,1,17,29,0,PRT
448,0,19,29,0,ESP
449,0,10,29,2,IRL
450,1,12,29,2,PRT
451,0,10,29,2,IRL
452,0,63,29,1,PRT
453,1,35,29,1,PRT
454,0,113,29,2,PRT
455,1,35,29,2,PRT
456,0,68,29,2,GBR
457,0,113,29,2,PRT
458,0,21,29,4,PRT
459,0,6,29,0,PRT
460,0,7,29,0,PRT
461,0,17,29,0,PRT
462,0,1,29,0,PRT
463,0,2,29,0,PRT
464,1,15,29,0,PRT
465,1,7,29,0,PRT
466,0,11,29,0,ESP
467,1,6,29,0,PRT
468,0,1,29,0,PRT
469,0,1,29,0,ESP
470,0,48,29,0,PRT
471,0,15,29,0,PRT
472,1,3,29,0,PRT
473,1,23,29,1,PRT
474,0,53,29,2,PRT
475,0,53,29,2,PRT
476,0,94,29,2,ESP
477,0,64,29,2,PRT
478,0,53,29,2,PRT
479,0,53,29,2,PRT
480,0,64,29,2,PRT
481,0,53,29,2,PRT
482,0,24,29,2,PRT
483,0,24,29,2,PRT
484,0,23,29,2,ESP
485,0,53,29,2,IRL
486,1,23,29,2,PRT
487,0,90,29,2,PRT
488,0,79,29,2,PRT
489,0,43,29,2,GBR
490,0,90,29,2,PRT
491,0,65,29,2,ESP
492,0,65,29,2,ESP
493,0,99,29,2,FRA
494,0,25,29,3,ESP
495,0,92,29,1,MOZ
496,0,91,29,1,BWA
497,0,38,29,1,PRT
498,0,6,29,1,GBR
499,0,38,29,1,ESP
500,0,13,29,1,DEU
501,1,32,29,1,PRT
502,0,315,29,1,IRL
503,0,8,29,1,GBR
504,1,0,29,0,PRT
505,0,91,29,1,MOZ
506,0,3,29,1,ESP
507,0,9,29,2,PRT
508,0,19,29,2,ESP
509,0,25,29,2,PRT
510,0,108,29,2,LUX
511,1,37,29,2,PRT
512,0,45,29,2,PRT
513,0,64,29,2,PRT
514,0,44,29,2,PRT
515,0,26,29,2,PRT
516,1,96,29,2,PRT
517,1,123,29,2,PRT
518,1,42,29,2,PRT
519,0,59,29,2,PRT
520,0,28,29,2,GBR
521,0,106,29,2,PRT
522,0,1,29,0,PRT
523,0,0,29,0,PRT
524,0,4,29,1,PRT
525,0,3,29,2,CN
526,0,73,29,2,PRT
527,0,44,29,2,ESP
528,0,95,29,2,PRT
529,0,94,29,2,PRT
530,1,40,29,2,PRT
531,0,64,29,2,PRT
532,0,64,29,2,PRT
533,0,94,29,2,PRT
534,0,57,29,2,ESP
535,1,60,29,2,PRT
536,0,57,29,2,ESP
537,0,87,29,4,IRL
538,0,0,30,1,PRT
539,0,0,30,1,PRT
540,0,6,30,1,NLD
541,0,0,30,1,PRT
542,0,19,30,1,PRT
543,0,4,30,2,PRT
544,1,59,30,2,PRT
545,0,44,30,2,PRT
546,1,37,30,2,PRT
547,0,66,30,2,PRT
548,1,38,30,2,PRT
549,1,62,30,2,PRT
550,0,41,30,2,ESP
551,1,60,30,2,PRT
552,0,104,30,2,GBR
553,1,62,30,2,PRT
554,0,117,30,2,RUS
555,1,31,30,2,PRT
556,0,34,30,2,IRL
557,0,47,30,2,PRT
558,1,24,30,2,PRT
559,1,104,30,2,PRT
560,0,104,30,2,GBR
561,0,32,30,2,IRL
562,1,47,30,3,PRT
563,0,29,30,4,GBR
564,0,30,30,4,GBR
565,0,123,30,2,ESP
566,0,14,30,1,PRT
567,1,118,30,1,PRT
568,0,0,30,0,PRT
569,0,0,30,0,PRT
570,0,79,30,1,PRT
571,0,63,30,1,PRT
572,0,68,30,1,POL
573,0,96,30,1,PRT
574,1,41,30,1,PRT
575,0,46,30,1,NOR
576,1,41,30,1,PRT
577,1,60,30,1,PRT
578,0,41,30,1,ESP
579,1,69,30,1,PRT
580,1,41,30,1,PRT
581,0,52,30,1,PRT
582,1,41,30,1,PRT
583,0,89,30,2,GBR
584,1,28,30,2,PRT
585,0,65,30,2,GBR
586,0,82,30,2,PRT
587,0,42,30,2,ESP
588,0,62,30,2,ESP
589,1,86,30,2,PRT
590,1,118,30,2,PRT
591,0,28,30,2,PRT
592,1,52,30,3,PRT
593,1,49,30,3,PRT
594,0,39,30,3,PRT
595,0,39,30,3,PRT
596,0,39,30,3,PRT
597,1,7,30,3,PRT
598,1,7,30,3,PRT
599,1,42,30,0,PRT
600,0,5,30,0,PRT
601,1,81,30,0,PRT
602,1,63,30,0,PRT
603,0,61,30,0,PRT
604,0,8,30,0,PRT
605,0,89,30,1,PRT
606,0,57,30,2,IRL
607,0,102,30,2,CHE
608,0,108,30,2,PRT
609,0,28,30,2,IRL
610,0,29,30,2,GBR
611,0,0,30,0,ESP
612,1,96,30,0,PRT
613,1,44,30,0,PRT
614,0,44,30,0,FRA
615,1,44,30,0,PRT
616,1,44,30,0,PRT
617,1,41,30,1,PRT
618,0,16,30,0,PRT
619,0,73,30,0,PRT
620,0,3,30,0,PRT
621,0,0,30,0,PRT
622,1,55,30,0,PRT
623,0,33,30,0,ESP
624,1,19,30,0,PRT
625,1,55,30,0,PRT
626,0,33,30,0,ESP
627,1,19,30,1,PRT
628,1,19,30,1,PRT
629,0,117,30,2,CN
630,1,72,30,2,PRT
631,1,19,30,1,PRT
632,0,34,30,2,ROU
633,0,9,30,0,ESP
634,0,8,30,0,BRA
635,1,36,30,0,PRT
636,0,22,30,0,ESP
637,0,22,30,0,ESP
638,0,22,30,0,ESP
639,0,36,30,0,PRT
640,0,22,30,0,ESP
641,1,22,30,0,PRT
642,0,18,30,0,ESP
643,0,8,30,0,BRA
644,1,67,30,0,PRT
645,1,105,30,0,PRT
646,0,1,30,1,RUS
647,1,67,30,0,PRT
648,0,39,30,0,ESP
649,1,45,30,1,PRT
650,1,45,30,2,PRT
651,0,14,30,2,SVN
652,1,53,30,2,PRT
653,0,28,30,2,ALB
654,0,55,30,2,GBR
655,0,55,30,2,GBR
656,0,25,30,2,PRT
657,1,43,30,2,PRT
658,1,109,30,2,PRT
659,1,62,30,2,PRT
660,0,25,30,2,PRT
661,0,43,30,2,ESP
662,0,35,30,3,GBR
663,1,42,30,3,PRT
664,1,312,30,4,PRT
665,0,30,30,0,PRT
666,0,47,30,2,PRT
667,0,40,30,0,ESP
668,0,11,30,0,ESP
669,0,39,30,0,ESP
670,1,39,30,0,PRT
671,0,1,30,1,PRT
672,1,12,30,1,PRT
673,1,16,30,1,PRT
674,1,16,30,1,PRT
675,0,12,30,1,ESP
676,0,51,30,2,PRT
677,0,67,30,2,GBR
678,0,52,30,2,PRT
679,0,25,30,2,ESP
680,0,94,30,2,ESP
681,1,54,30,2,PRT
682,0,33,30,2,PRT
683,0,47,30,2,PRT
684,0,43,30,2,IRL
685,1,87,30,2,PRT
686,0,54,30,2,PRT
687,0,32,30,2,PRT
688,1,29,30,2,PRT
689,1,96,30,2,PRT
690,1,100,30,2,PRT
691,0,54,30,2,PRT
692,0,75,30,2,PRT
693,0,31,30,2,PRT
694,1,25,30,2,PRT
695,0,61,30,2,GBR
696,0,60,30,2,GBR
697,1,31,30,3,PRT
698,1,107,30,3,PRT
699,1,31,30,3,PRT
700,0,115,30,4,PRT
701,0,59,30,4,IRL
702,1,85,30,4,PRT
703,0,0,30,2,PRT
704,1,299,30,2,PRT
705,0,50,30,2,PRT
706,1,50,30,2,PRT
707,1,88,31,2,PRT
708,1,116,31,2,PRT
709,0,47,31,2,ESP
710,0,48,31,2,CN
711,1,54,31,2,PRT
712,1,33,31,2,PRT
713,0,73,31,2,PRT
714,1,54,31,2,PRT
715,1,33,31,2,PRT
716,0,38,31,2,ESP
717,0,34,31,2,RUS
718,0,130,31,2,PRT
719,1,39,31,3,PRT
720,1,39,31,3,PRT
721,0,45,31,2,GBR
722,0,31,31,0,PRT
723,1,48,31,1,PRT
724,0,59,31,1,PRT
725,1,48,31,1,PRT
726,1,48,31,1,PRT
727,1,48,31,1,PRT
728,0,48,31,1,PRT
729,0,96,31,1,PRT
730,0,51,31,1,ESP
731,0,96,31,1,PRT
732,1,41,31,1,PRT
733,0,6,31,1,ESP
734,0,27,31,1,PRT
735,0,28,31,1,ESP
736,0,30,31,1,PRT
737,0,45,31,1,ESP
738,0,52,31,1,PRT
739,0,31,31,1,ESP
740,1,74,31,1,PRT
741,0,31,31,1,PRT
742,1,87,31,1,PRT
743,0,48,31,1,PRT
744,1,41,31,1,PRT
745,0,35,31,1,PRT
746,0,28,31,1,PRT
747,0,77,31,1,PRT
748,1,33,31,1,PRT
749,0,30,31,1,PRT
750,1,34,31,1,PRT
751,1,298,31,1,PRT
752,0,35,31,1,ESP
753,0,40,31,1,PRT
754,1,101,31,2,PRT
755,1,101,31,2,PRT
756,1,101,31,2,PRT
757,1,101,31,2,PRT
758,0,38,31,2,GBR
759,0,76,31,2,GBR
760,0,70,31,0,GBR
761,0,70,31,0,USA
762,0,68,31,0,PRT
763,1,63,31,0,PRT
764,1,11,31,0,PRT
765,0,32,31,0,ESP
766,0,29,31,0,RUS
767,0,47,31,0,PRT
768,0,50,31,0,PRT
769,1,29,31,0,PRT
770,0,36,31,0,ESP
771,0,49,31,1,NOR
772,1,70,31,2,PRT
773,0,110,31,2,USA
774,0,8,31,0,PRT
775,1,119,31,0,PRT
776,0,30,31,0,PRT
777,1,29,31,1,PRT
778,0,71,31,1,GBR
779,1,37,31,1,PRT
780,1,40,31,1,PRT
781,0,37,31,1,PRT
782,0,0,31,0,PRT
783,1,37,31,1,PRT
784,0,37,31,1,PRT
785,0,97,31,1,GBR
786,1,71,31,1,PRT
787,1,118,31,1,PRT
788,0,102,31,2,GBR
789,1,54,31,2,PRT
790,1,58,31,2,PRT
791,0,34,31,2,GBR
792,1,105,31,2,PRT
793,1,47,31,2,PRT
794,1,15,31,0,PRT
795,0,37,31,0,ESP
796,1,0,31,0,PRT
797,1,8,31,0,PRT
798,0,17,31,0,GBR
799,0,3,31,0,PRT
800,1,30,31,0,PRT
801,1,31,31,0,PRT
802,1,66,31,0,PRT
803,0,52,31,0,ESP
804,0,20,31,1,BRA
805,1,30,31,0,PRT
806,1,31,31,0,PRT
807,1,62,31,1,PRT
808,1,65,31,1,PRT
809,1,64,31,2,PRT
810,0,77,31,2,PRT
811,0,75,31,2,CHE
812,0,75,31,2,CHE
813,1,62,31,2,PRT
814,0,42,31,0,PRT
815,0,46,31,0,PRT
816,0,0,31,0,PRT
817,1,25,31,0,PRT
818,1,16,31,0,PRT
819,1,16,31,0,PRT
820,0,16,31,0,PRT
821,1,4,31,0,PRT
822,0,4,31,0,PRT
823,1,25,31,0,PRT
824,1,83,31,0,PRT
825,0,4,31,0,PRT
826,1,56,31,0,PRT
827,1,32,31,0,PRT
828,0,32,31,0,PRT
829,0,0,31,0,PRT
830,1,18,31,1,PRT
831,1,23,31,1,PRT
832,1,39,31,1,PRT
833,1,18,31,1,PRT
834,1,18,31,1,PRT
835,1,23,31,1,PRT
836,0,286,31,2,IRL
837,0,72,31,2,PRT
838,1,136,31,2,PRT
839,0,58,31,2,NLD
840,0,80,31,2,BEL
841,0,113,31,3,IRL
842,0,129,31,1,PRT
843,1,84,31,2,PRT
844,1,84,31,2,PRT
845,1,89,31,0,PRT
846,1,10,31,0,PRT
847,1,80,31,0,PRT
848,1,10,31,0,PRT
849,1,10,31,0,PRT
850,1,24,31,0,PRT
851,0,1,31,0,PRT
852,1,9,31,0,PRT
853,1,3,31,2,PRT
854,0,3,31,2,ESP
855,1,124,31,2,PRT
856,1,74,31,2,PRT
857,1,82,31,2,PRT
858,1,91,31,2,PRT
859,1,77,31,2,PRT
860,1,130,31,2,PRT
861,1,91,31,2,PRT
862,0,79,31,2,PRT
863,1,130,31,2,PRT
864,0,66,31,2,PRT
865,1,53,31,3,PRT
866,1,80,31,4,PRT
867,1,77,31,4,PRT
868,1,57,31,4,PRT
869,0,11,31,4,PRT
870,1,25,32,1,PRT
871,1,2,32,2,PRT
872,1,36,32,2,PRT
873,1,36,32,2,PRT
874,0,115,32,2,PRT
875,0,95,32,2,PRT
876,0,67,32,2,PRT
877,0,60,32,2,PRT
878,0,34,32,2,ESP
879,0,78,32,4,IRL
880,0,93,32,2,PRT
881,1,327,32,4,PRT
882,0,21,32,0,PRT
883,0,0,32,1,PRT
884,1,47,32,1,PRT
885,1,81,32,1,PRT
886,1,52,32,1,PRT
887,1,13,32,1,PRT
888,0,83,32,2,IRL
889,1,131,32,2,PRT
890,0,460,32,2,GBR
891,1,82,32,2,PRT
892,1,61,32,2,PRT
893,0,94,32,0,PRT
894,0,1,32,0,PRT
895,0,0,32,0,PRT
896,1,36,32,0,PRT
897,1,61,32,0,PRT
898,0,13,32,0,PRT
899,0,13,32,0,PRT
900,1,15,32,0,PRT
901,0,14,32,0,ESP
902,1,13,32,1,PRT
903,0,140,32,2,ESP
904,0,6,32,2,ESP
905,0,140,32,2,PRT
906,0,81,32,2,RUS
907,0,1,32,0,PRT
908,0,65,32,0,PRT
909,1,0,32,0,PRT
910,0,2,32,0,ESP
911,0,0,32,0,PRT
912,1,114,32,0,PRT
913,1,111,32,0,PRT
914,0,44,32,0,ESP
915,0,139,32,0,PRT
916,1,57,32,1,PRT
917,1,16,32,1,PRT
918,0,139,32,0,PRT
919,0,84,32,2,PRT
920,1,117,32,2,PRT
921,1,69,32,0,PRT
922,0,2,32,0,FRA
923,1,118,32,0,PRT
924,0,129,32,0,PRT
925,0,9,32,0,ESP
926,0,52,32,1,PRT
927,0,65,32,2,GBR
928,0,7,32,2,PRT
929,1,28,32,1,PRT
930,0,3,32,2,ROU
931,0,87,32,2,RUS
932,0,51,32,2,ESP
933,0,136,32,2,IRL
934,0,4,32,0,PRT
935,0,1,32,0,PRT
936,1,49,32,0,PRT
937,0,4,32,0,IND
938,1,45,32,0,PRT
939,0,6,32,0,PRT
940,0,4,32,0,GBR
941,1,53,32,1,PRT
942,0,52,32,1,PRT
943,1,4,32,2,PRT
944,0,98,32,2,PRT
945,1,46,32,2,PRT
946,1,122,32,2,PRT
947,0,83,32,2,ESP
948,0,16,32,2,IRL
949,1,43,32,2,PRT
950,1,73,32,2,PRT
951,0,116,32,2,PRT
952,1,113,32,2,PRT
953,1,113,32,2,PRT
954,0,51,32,2,PRT
955,0,65,32,2,NLD
956,0,0,32,0,CHN
957,1,87,32,0,PRT
958,1,106,32,1,PRT
959,0,5,32,1,CHE
960,0,98,32,1,ESP
961,1,78,32,1,PRT
962,0,4,32,2,PRT
963,0,5,32,2,USA
964,0,3,32,2,ESP
965,0,85,32,2,FRA
966,1,137,32,2,PRT
967,1,67,32,2,PRT
968,1,54,32,2,PRT
969,1,87,32,2,PRT
970,1,54,32,2,PRT
971,0,12,32,2,PRT
972,1,60,32,2,PRT
973,0,75,32,2,PRT
974,1,54,32,2,PRT
975,0,126,32,2,PRT
976,1,54,32,2,PRT
977,1,84,32,2,PRT
978,1,106,32,2,PRT
979,0,136,32,2,IRL
980,0,98,32,2,PRT
981,1,91,32,2,PRT
982,1,58,32,2,PRT
983,0,61,32,4,FRA
984,0,0,33,1,PRT
985,0,5,33,1,PRT
986,0,2,33,1,PRT
987,1,9,33,2,PRT
988,1,10,33,2,PRT
989,0,62,33,2,FRA
990,0,34,33,2,USA
991,0,82,33,2,CN
992,1,65,33,2,PRT
993,1,129,33,2,PRT
994,0,55,33,2,MEX
995,1,122,33,2,PRT
996,1,41,33,2,PRT
